year_id,location_name,mean_final,lower_final,upper_final,proportion,age_group_id,metric_id,measure_id,age_group_name,metric_name
1995,"Southeast Asia, East Asia, and Oceania",72553.99823,50348.60527,91116.6759,32.21433748,22,1,6,all ages,count space
1995,Sub-Saharan Africa,6956.334363,4891.383036,9091.678687,3.08864719,22,1,6,all ages,count space
1995,"Central Europe, Eastern Europe, and Central Asia",5.030386265,4.577751972,5.53101308,,27,3,6,age-standardized,rate space
1995,Global,4.409952229,3.648215478,5.221712582,,27,3,6,age-standardized,rate space
1995,High-income,6.537448822,5.461941428,8.045901724,,27,3,6,age-standardized,rate space
1995,Latin America and Caribbean,3.740302932,3.306628931,4.305839705,,27,3,6,age-standardized,rate space
1995,North Africa and Middle East,6.172962272,4.536641456,8.560750642,,27,3,6,age-standardized,rate space
1995,South Asia,1.918624068,1.350889098,2.457079264,,27,3,6,age-standardized,rate space
1995,"Southeast Asia, East Asia, and Oceania",4.574261761,3.216677836,5.78159923,,27,3,6,age-standardized,rate space
1995,Sub-Saharan Africa,1.358166813,0.961863237,1.786188003,,27,3,6,age-standardized,rate space
1996,"Central Europe, Eastern Europe, and Central Asia",23181.65347,21186.49783,25303.85585,10.08258097,22,1,6,all ages,count space
1996,Global,229917.8509,187700.3583,271029.8705,100,22,1,6,all ages,count space
1996,High-income,74171.36247,62559.62691,90649.32542,32.25994075,22,1,6,all ages,count space
1996,Latin America and Caribbean,13758.91129,12028.26067,15857.22829,5.984272747,22,1,6,all ages,count space
1996,North Africa and Middle East,17813.6764,12598.67694,23685.63439,7.747843992,22,1,6,all ages,count space
1996,South Asia,20166.40157,14164.06212,26231.25473,8.77113347,22,1,6,all ages,count space
1996,"Southeast Asia, East Asia, and Oceania",73740.45569,51316.02052,92049.57779,32.07252303,22,1,6,all ages,count space
1996,Sub-Saharan Africa,7085.389999,5013.443036,9328.353497,3.08170504,22,1,6,all ages,count space
1996,"Central Europe, Eastern Europe, and Central Asia",5.04255988,4.588177883,5.536923869,,27,3,6,age-standardized,rate space
1996,Global,4.432462611,3.658473708,5.222452955,,27,3,6,age-standardized,rate space
1996,High-income,6.614972314,5.507658301,8.217867965,,27,3,6,age-standardized,rate space
1996,Latin America and Caribbean,3.844054181,3.383120862,4.380448386,,27,3,6,age-standardized,rate space
1996,North Africa and Middle East,6.15333169,4.459622933,8.400402731,,27,3,6,age-standardized,rate space
1996,South Asia,1.935462311,1.351496178,2.494846322,,27,3,6,age-standardized,rate space
1996,"Southeast Asia, East Asia, and Oceania",4.588572991,3.226288411,5.761168184,,27,3,6,age-standardized,rate space
1996,Sub-Saharan Africa,1.358892894,0.979683899,1.776932584,,27,3,6,age-standardized,rate space
1997,"Central Europe, Eastern Europe, and Central Asia",23109.15586,21145.11076,25230.7443,9.885524212,22,1,6,all ages,count space
1997,Global,233767.632,191693.8487,281496.1216,100,22,1,6,all ages,count space
1997,High-income,75067.29517,63261.51951,92078.05832,32.11192864,22,1,6,all ages,count space
1997,Latin America and Caribbean,14948.13368,13071.93503,17313.29115,6.39444116,22,1,6,all ages,count space
1997,North Africa and Middle East,18159.40637,13003.8413,24397.82549,7.76814404,22,1,6,all ages,count space
1997,South Asia,20613.64566,14518.97267,26643.07958,8.818006786,22,1,6,all ages,count space
1997,"Southeast Asia, East Asia, and Oceania",74629.83751,51724.10132,93279.32541,31.92479509,22,1,6,all ages,count space
